sent_id,source,target,sentence
70,Austria,France,"After a period of diplomatic and military escalation known as the July Crisis , by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire , France , and the Russian Empire ; and the Central Powers , comprised initially of the German Empire and Austria-Hungary . ["
70,France,Hungary,"After a period of diplomatic and military escalation known as the July Crisis , by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire , France , and the Russian Empire ; and the Central Powers , comprised initially of the German Empire and Austria-Hungary . ["
70,Austria,Hungary,"After a period of diplomatic and military escalation known as the July Crisis , by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire , France , and the Russian Empire ; and the Central Powers , comprised initially of the German Empire and Austria-Hungary . ["
72,Germany,Russia,"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia."
112,Germany,Italy,"Germany, 1933 Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922. ["
120,Austria,Germany,"33 ] Hitler began to put his plan in motion, annexing Austria in the Anschluss , or reunification of Austria to Germany, in 1938. ["
131,France,Poland,"The signing of the Molotov-Ribbentrop Pact in Moscow, 23 August 1939 Soon after the events in Czechoslovakia, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list."
133,France,Germany,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible. ["
133,France,Poland,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible. ["
133,Germany,Poland,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible. ["
140,Germany,Poland,"41 ] As Hitler's forces conquered Poland, the Soviet Union , under General Secretary Joseph Stalin , was acting out guarantees of territory under a secret part of a nonaggression pact between the USSR and Germany known as the Molotov-Ribbentrop Pact ."
141,Estonia,Latvia,"This treaty gave Stalin free rein to take the Baltic republics of Estonia , Latvia, and Lithuania , as well as Eastern Poland, all of which would remain in Soviet possession after the war. ["
141,Estonia,Lithuania,"This treaty gave Stalin free rein to take the Baltic republics of Estonia , Latvia, and Lithuania , as well as Eastern Poland, all of which would remain in Soviet possession after the war. ["
141,Latvia,Lithuania,"This treaty gave Stalin free rein to take the Baltic republics of Estonia , Latvia, and Lithuania , as well as Eastern Poland, all of which would remain in Soviet possession after the war. ["
145,Denmark,Norway,"45 ] This changed when Hitler occupied Denmark and Norway, beginning on 9 April 1940."
147,Denmark,Norway,"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours . ["
148,Germany,Sweden,"46 ] [ 47 ] Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies . ["
149,Luxembourg,Netherlands,"48 ] On the 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg ), likely to surmount the Maginot Line of defenses on the Franco-German border. ["
175,Albania,Greece,"However, a pro-allied coup in Yugoslavia and Mussolini's almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time. ["
181,Belarus,Ukraine,"66 ] Throughout 1941, German forces, divided into 3 army groups (Army Group A, Army Group B, and Army Group C), occupied the territories of the present day Ukraine and Belarus , laid siege to Leningrad (present day Saint Petersburg), and advanced to within 15 miles of Moscow."
185,Egypt,Libya,67 ] Mussolini had launched an offensive in North Africa from Italian-controlled Libya into British-controlled Egypt.
189,Iran,Iraq,"However, Hitler, embroiled in his invasion of the Soviet Union, refused to send Rommel any more troops, causing Rommel to retreat and preventing him from seizing the Middle East , where Axis-friendly regimes had taken root in Iraq and Persia (present-day Iran ). ["
200,Germany,Japan,"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didn't bind Germany to do so."
201,Japan,Russia,"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia."
202,Germany,Italy,Both Germany and Italy declared war on the United States a few days after the attack. [
210,Algeria,Morocco,"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942. ["
224,France,Germany,"Rommel, who was now in charge of defending France against possible Allied attack, thought the Allies would not attack during the stormy weather, and was on holiday in Germany. ["
248,Germany,Poland,"The Soviets launched a devastating attack from Poland into Germany and Eastern Europe, intending to take Berlin."
264,Germany,Japan,"99 ] On 27 September 1940, Japan became cosignatories of the Tripartite Pact , joining a military alliance with Germany and Italy. ["
264,Italy,Japan,"99 ] On 27 September 1940, Japan became cosignatories of the Tripartite Pact , joining a military alliance with Germany and Italy. ["
264,Germany,Italy,"99 ] On 27 September 1940, Japan became cosignatories of the Tripartite Pact , joining a military alliance with Germany and Italy. ["
267,Japan,Thailand,"102 ] [ 103 ] At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines . ["
267,Japan,Singapore,"102 ] [ 103 ] At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines . ["
267,Japan,Philippines,"102 ] [ 103 ] At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines . ["
267,Singapore,Thailand,"102 ] [ 103 ] At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines . ["
267,Philippines,Thailand,"102 ] [ 103 ] At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines . ["
267,Philippines,Singapore,"102 ] [ 103 ] At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines . ["
270,Australia,Philippines,"105 ] In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia. ["
275,Japan,Solomon Islands,"110 ] The losses suffered during this Battle of Midway, paired with the campaign of attrition that was taking place in Solomon Islands , left Japan unable to replenish its forces and turned the tides of war against it."
279,India,Japan,"112 ] Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea , where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers . ["
346,France,Russia,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,India,Russia,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
